0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0
1.04,1.12,1.1,1.08,1.14,1.13,1.18,1.07,1.08,1.09,1.04,1.35,1.2,1.12,0.93,0.98,1.13,1.24,1.04,1.07,0.87,0.99,0.94,1,1.14,1.27,1.07,0.9,1.02,0.9,1.14,0.97,1.19,1.14,1.07,1.21,1.08,1.2,1.09,1.15,1.04,1.02,1.09,1.08,1.09,1.14,1.11,1.18,1.07,1.08,1.11,1.04,1.35,1.18,1.14,0.93,0.94,1.13,1.22,1.03,1.09,0.93,0.99,0.94,1.04,1.2,1.26,1.13,0.9,1.02,0.89,1.15,0.96,1.17,1.12,1.1,1.16,1.13,1.18,1.14,1.16,1.12,0.89,0.9,1.21,1.24,1.1,1.06,1.11
